node,lat,lon
711327755,-37.807675,144.9558726
711327756,-37.8070943,144.9559785
711327759,-37.8073009,144.9578172
711327760,-37.8078848,144.9577193
777781264,-37.8052207,144.9521732
711327758,-37.8062498,144.9580023
164102232,-37.8203223,144.9675308
26476632,-37.8227347,144.9311156
26476637,-37.8262913,144.930619
26476642,-37.8262801,144.9307411
356125087,-37.8165761,144.9801473
26476659,-37.8240968,144.9307186
123338879,-37.7996112,144.9273181
560988348,-37.8213426,144.9463561
560988354,-37.8210743,144.9472727
560988353,-37.821547,144.9450864
4733403342,-37.8245657,144.9627724
4733403343,-37.824402,144.9630551
367132897,-37.8092779,144.9738332
579993929,-37.8044679,144.9388588
579993932,-37.8043312,144.9386845
767820114,-37.8027398,144.9731215
552599908,-37.7991834,144.9763282
552599910,-37.7992717,144.9772228
711328116,-37.8078097,144.9567733
1496842667,-37.8252737,144.9886194
591397296,-37.8214836,144.9612666
767820210,-37.8025734,144.9722269
711328220,-37.8079334,144.9578607
711328221,-37.807921,144.9577424
711328222,-37.8076959,144.9557643
767820372,-37.8027408,144.9734085
6226313833,-37.8242288,144.9848327
6226313835,-37.8240192,144.9848752
6226313838,-37.8186363,144.9827666
6226313839,-37.8186375,144.9827669
6226313842,-37.8189675,144.98492
6226313846,-37.8189618,144.9818293
591266434,-37.8251142,144.9561678
3276407461,-37.8186923,144.9478945
3276407462,-37.8186039,144.9478502
3276407463,-37.8183025,144.9476864
775946936,-37.8041525,144.958323
775946938,-37.8041927,144.9587151
579994300,-37.8033447,144.9368512
775946941,-37.8041711,144.9584591
1132069602,-37.8141568,144.9446599
1132069603,-37.8140839,144.9445116
1132069605,-37.8127024,144.94298
1132069607,-37.8141865,144.9445546
1132069611,-37.8148614,144.9449731
1132069612,-37.8128094,144.9431875
1132069613,-37.8128215,144.9431476
1132069615,-37.8120556,144.9417989
1132069617,-37.8127164,144.9429385
579470070,-37.820836,144.9542349
1132069623,-37.8141226,144.9444126
1132069624,-37.8134616,144.944369
1132069626,-37.8121658,144.942053
1132069631,-37.8148908,144.9448679
1132069636,-37.8140496,144.9447405
1132069637,-37.812957,144.9434602
1132069641,-37.8140776,144.9446245
1132069644,-37.8147142,144.9449016
1132069648,-37.8140807,144.9445408
1132069649,-37.811359,144.9406482
1132069653,-37.8141377,144.9443707
1132069656,-37.8147431,144.9447998
1132069658,-37.8140786,144.9445885
54552166,-37.820872,144.9826286
579994432,-37.8043178,144.9385969
560988998,-37.8199185,144.9468542
54552170,-37.8204292,144.9819232
54552172,-37.8202713,144.9818494
54552173,-37.8201612,144.9817985
560989015,-37.8203031,144.9465123
54552174,-37.8196791,144.9816751
54552176,-37.8189174,144.9823778
2935358336,-37.8272185,144.9938817
2935358337,-37.8271781,144.9940628
54552182,-37.81875,144.983448
2935358339,-37.8272081,144.9939285
2935358343,-37.8271878,144.9940192
2935358344,-37.8271664,144.9941152
2935358346,-37.8271977,144.9939748
667681693,-37.8132802,144.9725408
54552188,-37.8200225,144.9850984
560989090,-37.819146,144.9463523
560989091,-37.819207,144.9463798
560989092,-37.8192478,144.9464006
54552191,-37.8206866,144.9847261
54552192,-37.8206294,144.9846349
54552193,-37.82089,144.9844083
710018065,-37.8151591,144.9364628
710018068,-37.8151825,144.936401
589431853,-37.8139599,144.9636889
560989237,-37.8211813,144.9472961
589431885,-37.8137647,144.9643365
579994721,-37.8033171,144.9368699
358351976,-37.8061816,144.9396584
575538325,-37.8238077,144.9836032
282854566,-37.7991359,145.0106154
282854567,-37.7989614,145.0109993
282854568,-37.7989055,145.011509
282854569,-37.7990172,145.0123398
282854570,-37.7992337,145.0134219
282854571,-37.799478,145.014113
282854572,-37.7998201,145.0147972
282854573,-37.800239,145.0152161
282854576,-37.8009371,145.0154534
579994804,-37.8041383,144.9384214
579994807,-37.8031878,144.9367171
1224869047,-37.8139221,144.9404494
1224869048,-37.8134835,144.9411308
1224869051,-37.8133999,144.9410188
1224869049,-37.8135741,144.9411848
1224869055,-37.8129196,144.9405217
1224869056,-37.8134275,144.9410974
1224869058,-37.8134657,144.9408574
1224869059,-37.8136879,144.9407992
282854595,-37.8019774,145.0155861
1224869063,-37.8136469,144.9409022
282854597,-37.8021938,145.0156769
1224869065,-37.8136729,144.9410854
282854603,-37.8026593,145.016216
